name,founded_year,category_code,total_money_raised,deadpooled_year,num_offices,office_1_longitude,office_1_latitude,office_1_location,office_1_city,office_1_state_code,office_1_country_code,office_2_longitude,office_2_latitude,office_2_location,office_2_city,office_2_state_code,office_2_country_code,office_3_longitude,office_3_latitude,office_3_location,office_3_city,office_3_state_code,office_3_country_code,office_4_longitude,office_4_latitude,office_4_location,office_4_city,office_4_state_code,office_4_country_code,office_5_longitude,office_5_latitude,office_5_location,office_5_city,office_5_state_code,office_5_country_code,office_6_longitude,office_6_latitude,office_6_location,office_6_city,office_6_state_code,office_6_country_code,office_7_longitude,office_7_latitude,office_7_location,office_7_city,office_7_state_code,office_7_country_code,office_8_longitude,office_8_latitude,office_8_location,office_8_city,office_8_state_code,office_8_country_code,office_9_longitude,office_9_latitude,office_9_location,office_9_city,office_9_state_code,office_9_country_code,office_10_longitude,office_10_latitude,office_10_location,office_10_city,office_10_state_code,office_10_country_code,office_11_longitude,office_11_latitude,office_11_location,office_11_city,office_11_state_code,office_11_country_code,office_12_longitude,office_12_latitude,office_12_location,office_12_city,office_12_state_code,office_12_country_code,total_money_raised_currency,total_money_raised_USD
Gizmoz,2003.0,web,18100000.0,,1,-122.169472,37.48413,"{'type': 'Point', 'coordinates': [-122.169472, 37.48413]}",Menlo Park,CA,USA,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,18100000.0
Scribd,2007.0,news,25800000.0,,1,-122.404052,37.789634,"{'type': 'Point', 'coordinates': [-122.404052, 37.789634]}",San Francisco,CA,USA,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,25800000.0
Slacker,2006.0,music,73100000.0,,1,-117.081406,33.022176,"{'type': 'Point', 'coordinates': [-117.081406, 33.022176]}",San Diego,CA,USA,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,73100000.0
Lala,,games_video,44200000.0,,1,-122.154369,37.451151,"{'type': 'Point', 'coordinates': [-122.154369, 37.451151]}",Palo Alto,CA,USA,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,44200000.0
Helio,2005.0,mobile,0.0,,1,-118.446596,34.057498,"{'type': 'Point', 'coordinates': [-118.446596, 34.057498]}",Los Angeles,CA,USA,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,0.0
eBay,1995.0,web,6700000.0,,1,-121.930035,37.295005,"{'type': 'Point', 'coordinates': [-121.930035, 37.295005]}",San Jose,CA,USA,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,6700000.0
MeetMoi,2007.0,social,5580000.0,,1,-73.985506,40.757929,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}",New York City,NY,USA,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,5580000.0
Joost,2006.0,games_video,45000000.0,,1,-74.0094471,40.7464969,"{'type': 'Point', 'coordinates': [-74.0094471, 40.7464969]}",New York,NY,USA,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,45000000.0
CBS,1986.0,news,0.0,,1,-119.306607,37.269175,"{'type': 'Point', 'coordinates': [-119.306607, 37.269175]}",,CA,USA,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,0.0
Viacom,1971.0,web,0.0,,1,-73.986011,40.757725,"{'type': 'Point', 'coordinates': [-73.986011, 40.757725]}",New York,NY,USA,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,0.0
Babelgum,2007.0,games_video,13200000.0,2013.0,1,-6.267494,53.344104,"{'type': 'Point', 'coordinates': [-6.267494, 53.344104]}",London,,GBR,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,13200000.0
Plaxo,2002.0,web,28300000.0,,1,-122.055197,37.387845,"{'type': 'Point', 'coordinates': [-122.055197, 37.387845]}",Sunnyvale,CA,USA,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,28300000.0
Cisco,1984.0,network_hosting,2500000.0,,1,-121.95377,37.408802,"{'type': 'Point', 'coordinates': [-121.95377, 37.408802]}",San Jose,CA,USA,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,2500000.0
Yahoo!,1994.0,web,6800000.0,,1,-122.025485,37.418531,"{'type': 'Point', 'coordinates': [-122.025485, 37.418531]}",Sunnyvale,CA,USA,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,6800000.0
Powerset,2006.0,search,22500000.0,,1,-122.395289,37.778613,"{'type': 'Point', 'coordinates': [-122.395289, 37.778613]}",San Francisco,CA,USA,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,22500000.0
Technorati,2002.0,advertising,32100000.0,,1,-122.393041,37.779558,"{'type': 'Point', 'coordinates': [-122.393041, 37.779558]}",San Francisco,CA,USA,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,32100000.0
Mahalo,2007.0,web,21000000.0,,1,-118.487267,34.017606,"{'type': 'Point', 'coordinates': [-118.487267, 34.017606]}",Culver City,CA,USA,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,21000000.0
Sparter,2007.0,games_video,0.0,2008.0,1,-95.712891,37.09024,"{'type': 'Point', 'coordinates': [-95.712891, 37.09024]}",,,USA,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,0.0
Kyte,2006.0,games_video,23400000.0,,1,-122.409173,37.788482,"{'type': 'Point', 'coordinates': [-122.409173, 37.788482]}",San Francisco,CA,USA,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,23400000.0
Veoh,2004.0,games_video,69800000.0,,1,-117.20834,32.902266,"{'type': 'Point', 'coordinates': [-117.20834, 32.902266]}",San Diego,CA,USA,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,69800000.0
Gannett,,web,0.0,,1,-77.216585,38.929289,"{'type': 'Point', 'coordinates': [-77.216585, 38.929289]}",McLean,VA,USA,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,0.0
Thoof,2006.0,web,1000000.0,2013.0,1,-97.745209,30.268735,"{'type': 'Point', 'coordinates': [-97.745209, 30.268735]}",Austin,TX,USA,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,1000000.0
Jingle Networks,2005.0,mobile,88700000.0,,1,-122.173887,37.480999,"{'type': 'Point', 'coordinates': [-122.173887, 37.480999]}",New York,NY,USA,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,88700000.0
Info,,web,8400000.0,,1,-87.622309,41.885619,"{'type': 'Point', 'coordinates': [-87.622309, 41.885619]}",Chicago,IL,USA,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,8400000.0
JotSpot,,web,5200000.0,,1,-122.159928,37.437328,"{'type': 'Point', 'coordinates': [-122.159928, 37.437328]}",Palo Alto,CA,USA,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,5200000.0
Meetup,2002.0,web,18300000.0,,1,-73.995722,40.72604,"{'type': 'Point', 'coordinates': [-73.995722, 40.72604]}",New York,NY,USA,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,18300000.0
Mercora,,web,5000000.0,2008.0,1,-122.012475,37.384239,"{'type': 'Point', 'coordinates': [-122.012475, 37.384239]}",Sunnyvale,CA,USA,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,5000000.0
NetRatings,,web,0.0,,1,-95.712891,37.09024,"{'type': 'Point', 'coordinates': [-95.712891, 37.09024]}",,,USA,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,0.0
LifeLock,2005.0,security,178000000.0,,1,-111.938739,33.429859,"{'type': 'Point', 'coordinates': [-111.938739, 33.429859]}",Tempe,AZ,USA,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,178000000.0
Wesabe,2005.0,web,4700000.0,2010.0,1,-122.402567,37.793148,"{'type': 'Point', 'coordinates': [-122.402567, 37.793148]}",San Francisco,CA,USA,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,4700000.0
Jangl SMS,2005.0,web,9000000.0,2008.0,1,-121.907768,37.697805,"{'type': 'Point', 'coordinates': [-121.907768, 37.697805]}",Pleasanton,CA,USA,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,9000000.0
SmugMug,2002.0,photo_video,0.0,,1,-122.067692,37.390056,"{'type': 'Point', 'coordinates': [-122.067692, 37.390056]}",Mountain View,CA,USA,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,0.0
Prosper,2006.0,finance,120000000.0,,1,-122.402524,37.78976,"{'type': 'Point', 'coordinates': [-122.402524, 37.78976]}",San Francisco,CA,USA,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,120000000.0
Jajah,2005.0,mobile,33000000.0,,1,-122.0899512,37.4233896,"{'type': 'Point', 'coordinates': [-122.0899512, 37.4233896]}",Mountain View,CA,USA,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,33000000.0
YouTube,2005.0,games_video,11500000.0,,1,-122.426804,37.627971,"{'type': 'Point', 'coordinates': [-122.426804, 37.627971]}",San Bruno,CA,USA,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,11500000.0
Stickam,2006.0,games_video,0.0,2013.0,1,-118.254558,34.051409,"{'type': 'Point', 'coordinates': [-118.254558, 34.051409]}",Los Angeles,CA,USA,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,0.0
blogTV,2006.0,games_video,3000000.0,,1,34.851612,31.046051,"{'type': 'Point', 'coordinates': [34.851612, 31.046051]}",Ramat Gan,,ISR,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,3000000.0
Livestream,2007.0,games_video,14700000.0,,1,-73.995625,40.726155,"{'type': 'Point', 'coordinates': [-73.995625, 40.726155]}",New York,NY,USA,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,14700000.0
AdaptiveBlue,2007.0,games_video,24000000.0,,1,-74.3372,40.801358,"{'type': 'Point', 'coordinates': [-74.3372, 40.801358]}",NYC,NY,USA,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,24000000.0
Pando Networks,2004.0,games_video,11000000.0,,1,-73.99873,40.722655,"{'type': 'Point', 'coordinates': [-73.99873, 40.722655]}",New York,NY,USA,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,11000000.0
Intel,1968.0,hardware,0.0,,1,-121.96761,37.384949,"{'type': 'Point', 'coordinates': [-121.96761, 37.384949]}",Santa Clara,CA,USA,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,0.0
GrandCentral,2006.0,mobile,4000000.0,,1,-121.932202,37.465645,"{'type': 'Point', 'coordinates': [-121.932202, 37.465645]}",Fremont,CA,USA,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,4000000.0
Ikan,2003.0,web,0.0,,1,-73.563878,41.049051,"{'type': 'Point', 'coordinates': [-73.563878, 41.049051]}",Stamford,CT,USA,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,0.0
Topix,2002.0,web,15000000.0,,1,-122.151198,37.44296,"{'type': 'Point', 'coordinates': [-122.151198, 37.44296]}",Palo Alto,CA,USA,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,15000000.0
Jobster,2004.0,search,52500000.0,,1,-122.357242,47.617682,"{'type': 'Point', 'coordinates': [-122.357242, 47.617682]}",Seattle,WA,USA,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,52500000.0
Pownce,2007.0,web,0.0,,1,-122.397224,37.762541,"{'type': 'Point', 'coordinates': [-122.397224, 37.762541]}",San Francisco,CA,USA,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,0.0
Revision3,2005.0,games_video,9000000.0,,1,-122.388243,37.757758,"{'type': 'Point', 'coordinates': [-122.388243, 37.757758]}",San Francisco,CA,USA,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,9000000.0
AllPeers,2004.0,web,0.0,2008.0,1,-1.255824,51.752276,"{'type': 'Point', 'coordinates': [-1.255824, 51.752276]}",Oxford,,GBR,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,0.0
CriticalMetrics,2007.0,web,100000.0,,1,-119.306607,37.269175,"{'type': 'Point', 'coordinates': [-119.306607, 37.269175]}",,CA,USA,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,100000.0
ZenZui,2007.0,mobile,0.0,,1,-122.347533,47.620716,"{'type': 'Point', 'coordinates': [-122.347533, 47.620716]}",Seattle,WA,USA,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,0.0
Spock,2006.0,search,7000000.0,,1,-122.217964,37.488336,"{'type': 'Point', 'coordinates': [-122.217964, 37.488336]}",SCHUYLER LAKE,NY,USA,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,7000000.0
Wize,2006.0,ecommerce,4990000.0,,1,-122.302262,37.559287,"{'type': 'Point', 'coordinates': [-122.302262, 37.559287]}",Burlingame,CA,USA,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,4990000.0
SodaHead,2007.0,web,12700000.0,,1,-119.306607,37.269175,"{'type': 'Point', 'coordinates': [-119.306607, 37.269175]}",Encino,CA,USA,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,12700000.0
CastTV,2006.0,games_video,3100000.0,,1,-122.393913,37.780716,"{'type': 'Point', 'coordinates': [-122.393913, 37.780716]}",San Francisco,CA,USA,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,3100000.0
iSkoot,2005.0,mobile,32200000.000000004,,2,-71.118487,42.375392,"{'type': 'Point', 'coordinates': [-71.118487, 42.375392]}",Cambridge,MA,USA,-122.396744,37.780134,"{'type': 'Point', 'coordinates': [-122.396744, 37.780134]}",San Francisco,CA,USA,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,32200000.000000004
EQO,2006.0,mobile,12500000.0,2012.0,1,-123.138565,49.263588,"{'type': 'Point', 'coordinates': [-123.138565, 49.263588]}",Vancouver,,CAN,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,12500000.0
AllofMP3,2000.0,games_video,0.0,2007.0,1,37.617633,55.755786,"{'type': 'Point', 'coordinates': [37.617633, 55.755786]}",Moscow,,RUS,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,0.0
There,,games_video,0.0,,1,-122.302149,37.553385,"{'type': 'Point', 'coordinates': [-122.302149, 37.553385]}",San Mateo,CA,USA,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,0.0
SellABand,2006.0,games_video,5000000.0,2010.0,1,6.553452,51.808933,"{'type': 'Point', 'coordinates': [6.553452, 51.808933]}",46395 Bocholt,,DEU,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,5000000.0
Funny Or Die,2007.0,games_video,18000000.0,,1,-122.137444,37.421621,"{'type': 'Point', 'coordinates': [-122.137444, 37.421621]}",San Mateo,CA,USA,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,18000000.0
Steorn,2000.0,web,0.0,,1,-6.229255,53.354997,"{'type': 'Point', 'coordinates': [-6.229255, 53.354997]}",Dublin,,IRL,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,0.0
MeeVee,2000.0,games_video,25000000.0,,1,-122.341715,37.590339,"{'type': 'Point', 'coordinates': [-122.341715, 37.590339]}",Burlingame,CA,USA,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,25000000.0
blinkx,2004.0,games_video,0.0,,1,-122.395089,37.793819,"{'type': 'Point', 'coordinates': [-122.395089, 37.793819]}",San Francisco,CA,USA,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,0.0
ClipBlast!,2005.0,web,0.0,,1,-118.756618,34.155211,"{'type': 'Point', 'coordinates': [-118.756618, 34.155211]}",Agoura Hills,CA,USA,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,0.0
Zlio,2005.0,ecommerce,4000000.0,2011.0,1,2.381836,48.862825,"{'type': 'Point', 'coordinates': [2.381836, 48.862825]}",Paris,,FRA,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,4000000.0
Yelp,2004.0,search,90000000.0,,1,-122.402195,37.786183,"{'type': 'Point', 'coordinates': [-122.402195, 37.786183]}",San Francisco,CA,USA,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,90000000.0
Jaiku,2006.0,mobile,0.0,2012.0,1,24.93105,60.16377,"{'type': 'Point', 'coordinates': [24.93105, 60.16377]}",Helsinki,,FIN,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,,,{},,,,USD,0.0
